reporting_period,firm_name,complaints_opened,weighted_upheld,uphold_rate_weighted,uphold_rate_weighted_pct
2024H1,Marks & Spencer Financial Services PLC,9479.0,6412.1825,0.6765,67.65
2024H1,Marshmallow Financial Services LTD,2918.0,972.5694,0.3333,33.33
2024H1,Metlife Europe D.a.c.,501.0,159.5184,0.3184,31.84
2024H1,Metro Bank PLC,9246.0,4278.5106000000005,0.4627,46.27
2024H1,Monzo Bank LTD,42089.0,13888.3991,0.33,33.0
2024H1,Moorcroft Debt Recovery Limited,551.0,272.4695,0.4945,49.45
2024H1,Motonovo Finance Limited,41.0,12.615699999999999,0.3077,30.77
2024H1,Munich Re Digital Partners LTD,1000.0,448.7,0.4487,44.87
2024H1,National Westminster Bank PLC,87800.0,57665.9855,0.6568,65.68
2024H1,Nationwide Building Society,61778.0,32378.289800000002,0.5241,52.41
2024H1,Newcastle Building Society,543.0,300.9508,0.5542,55.42
2024H1,Northern Bank Limited,1687.0,657.1656,0.3895,38.95
2024H1,Nutmeg Saving And Investment Limited,659.0,439.0151000000001,0.6662,66.62
2024H1,One Call Insurance Services Limited,3202.0,478.3788,0.1494,14.94
2024H1,Onesavings Bank PLC,2397.0,1343.1069,0.5603,56.03
2024H1,Paragon Bank PLC,1037.0,669.1302999999999,0.6453,64.53
2024H1,Pendragon Finance And Insurance Services Limited,34.0,8.0002,0.2353,23.53
2024H1,People's Administration Services Limited,4246.0,481.0718,0.1133,11.33
2024H1,Pepper (uk) Limited,763.0,372.6492,0.4884,48.84
2024H1,Phoenix Life Limited,13974.0,9797.142899999999,0.7011,70.11
2024H1,Pinnacle Insurance PLC,2528.0,561.9744,0.2223,22.23
2024H1,Prestige Underwriting Services LTD,507.0,283.2609,0.5587,55.87
2024H1,Principality Building Society,1237.0,708.9924,0.5732,57.32
2024H1,Qbe UK Limited,944.0,461.7104,0.4891,48.91
2024H1,Qmetric Group Limited,3280.0,988.92,0.3015,30.15
2024H1,Quilter Investment Platform Limited,610.0,465.552,0.7632,76.32
2024H1,Quilter Life & Pensions Limited,799.0,610.8448999999999,0.7645,76.45
2024H1,RBS Collective Investment Funds Limited,1430.0,527.813,0.3691,36.91
2024H1,Rac Motoring Services,9218.0,2973.7268,0.3226,32.26
2024H1,Reassure Life Limited,979.0,878.2026000000001,0.897,89.7
