reporting_period,firm_name,total_complaints,period_order,complaint_share_pct
2024H2,Amtrust Specialty Limited,2314.0,1,0.14
2024H2,Animal Friends Insurance Services LTD,3228.0,1,0.19
2024H2,Arag Legal Expenses Insurance Company Limited,1930.0,1,0.11
2024H2,Arthur J. Gallagher Insurance Brokers Limited,1047.0,1,0.06
2024H2,Assurant General Insurance Limited,6996.0,1,0.41
2024H2,Astrenska Insurance Limited,1854.0,1,0.11
2024H2,Asurion Europe Limited,1431.0,1,0.08
2024H2,Atlanta Insurance Intermediaries Limited,9798.0,1,0.58
2024H2,Automobile Association Insurance Services Limited,8063.0,1,0.48
2024H2,Avantia Insurance Limited,1437.0,1,0.08
2024H2,Aviva Health UK Limited,1337.0,1,0.08
2024H2,Aviva Insurance Limited,49190.0,1,2.91
2024H2,Aviva Life Services UK Limited,23862.0,1,1.41
2024H2,Aviva Protection UK Limited,742.0,1,0.04
2024H2,Awp Assistance UK LTD,2716.0,1,0.16
2024H2,Awp P&c S.a.,2225.0,1,0.13
2024H2,Axa Insurance Designated Activity Company,2047.0,1,0.12
2024H2,Axa Insurance UK PLC,20381.0,1,1.2
2024H2,Axa Ppp Healthcare Limited,24510.0,1,1.45
2024H2,Bank Of Ireland (uk) PLC,3367.0,1,0.2
2024H2,Bank Of Scotland PLC,74404.0,1,4.4
2024H2,Barclays Bank PLC,9458.0,1,0.56
2024H2,Barclays Bank UK PLC,68750.0,1,4.06
2024H2,Bisl Limited,13571.0,1,0.8
2024H2,British Gas Services Limited,57808.0,1,3.42
2024H2,Bupa Insurance Services Limited,31626.0,1,1.87
2024H2,Business Insurance Solutions Limited,479.0,1,0.03
2024H2,Cabot Credit Management Group Limited,26.0,1,0.0
2024H2,Call Assist LTD,644.0,1,0.04
2024H2,Capital Home Loans Limited,515.0,1,0.03
2024H2,Capital One (europe) PLC,23665.0,1,1.4
2024H2,Car Care Plan Limited,1043.0,1,0.06
2024H2,Carfinance247 Limited,158.0,1,0.01
2024H2,Carole Nash Insurance Consultants LTD,3087.0,1,0.18
2024H2,Castelan Limited,541.0,1,0.03
2024H2,Charter Court Financial Services Limited,2022.0,1,0.12
2024H2,Chetwood Financial Limited,339.0,1,0.02
2024H2,Chubb European Group Se,4200.0,1,0.25
2024H2,Citibank UK Limited,755.0,1,0.04
2024H2,Clearbank Limited,3540.0,1,0.21
2024H2,Close Brothers Limited,315.0,1,0.02
2024H2,Clydesdale Bank PLC,37438.0,1,2.21
2024H2,Cofunds Limited,992.0,1,0.06
2024H2,Complete Cover Group LTD,963.0,1,0.06
2024H2,Connells Limited,525.0,1,0.03
2024H2,Corgi Homeplan LTD,1809.0,1,0.11
2024H2,Countrywide Assured PLC,664.0,1,0.04
2024H2,Coutts & Company,1776.0,1,0.1
2024H2,Covea Insurance PLC,2490.0,1,0.15
2024H2,Coventry Building Society,3969.0,1,0.23
2024H2,Creation Consumer Finance LTD,5621.0,1,0.33
2024H2,Creation Financial Services Limited,520.0,1,0.03
